co_posicao;sg_area;co_item;tx_gabarito;co_habilidade;in_item_aban;tx_motivo_aban;nu_param_a;nu_param_b;nu_param_c;tx_cor;co_prova;id;ano;cor;meio_aplicacao;num_questao;area;texto_questao;texto_base;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;tp_lingua;in_item_adaptado;tp_versao_digital
1;CH;71933;A;6.0;0;;2.23777;1.04258;0.29804;AZUL;85;1_CH_AZUL;2010.0;AZUL;PAPEL;1.0;CH;O gráfico representa a relação entre o tamanho e a totalidade dos imóveis rurais no Brasil. Que característica da estrutura fundiária brasileira está evidenciada no gráfico apresentado? A A concentraçao de terras nas mãos de poucos. B A existência de poucas terras agricultáveis. C O domínio territorial dos minifúndios. D A primazia da agricultura familiar. E A debilidade dos plantations modernos. ; O gráfico representa a relação entre o tamanho e a totalidade dos imóveis rurais no Brasil. Que característica da estrutura fundiária brasileira está evidenciada no gráfico apresentado?; A concentraçao de terras nas mãos de poucos.; A existência de poucas terras agricultáveis.; O domínio territorial dos minifúndios.; A primazia da agricultura familiar.; A debilidade dos plantations modernos.;;;
2;CH;71990;B;19.0;0;;1.35599;1.23358;0.23895;AZUL;85;2_CH_AZUL;2010.0;AZUL;PAPEL;2.0;CH;Antes, eram apenas as grandes cidades que se apresentavam como o império da técnica, objeto de modificações, suspensões, acréscimos, cada vez mais sofisticadas e carregadas de artifício. Esse mundo artificial inclui, hoje, o mundo rural.SANTOS, M. A Natureza do Espaço. São Paulo: Hucitec, 1996. Considerando a transformação mencionada no texto, uma consequência socioespacial que caracteriza o atual mundo rural brasileiro é A a redução do processo de concentração de terras. B o aumento do aproveitamento de solos menos férteis. C a ampliação do isolamento do espaço rural. D a estagnação da fronteira agrícola do país. E a diminuição do nível de emprego formal. ;Antes, eram apenas as grandes cidades que se apresentavam como o império da técnica, objeto de modificações, suspensões, acréscimos, cada vez mais sofisticadas e carregadas de artifício. Esse mundo artificial inclui, hoje, o mundo rural.SANTOS, M. A Natureza do Espaço. São Paulo: Hucitec, 1996. Considerando a transformação mencionada no texto, uma consequência socioespacial que caracteriza o atual mundo rural brasileiro é; a redução do processo de concentração de terras.; o aumento do aproveitamento de solos menos férteis.; a ampliação do isolamento do espaço rural.; a estagnação da fronteira agrícola do país.; a diminuição do nível de emprego formal.;;;
3;CH;73431;A;17.0;0;;1.58426;1.26006;0.19016;AZUL;85;3_CH_AZUL;2010.0;AZUL;PAPEL;3.0;CH;A maioria das pessoas daqui era do campo. Vila Maria é hoje exportadora de trabalhadores. Empresários de Primavera do Leste, Estado de Mato Grosso, procuram o bairro de Vila Maria para conseguir mão de obra. É gente indo distante daqui 300, 400 quilômetros para ir trabalhar, para ganhar sete conto por dia. (Carlito, 43 anos, maranhense, entrevistado em 22/03/98).Ribeiro, H. S. O migrante e a cidade: dilemas e conflitos.Araraquara: Wunderlich, 2001 (adaptado). O texto retrata um fenômeno vivenciado pela agricultura brasileira nas últimas décadas do século XX, consequência A dos impactos sociais da modernização da agricultura. B da recomposição dos salários do trabalhador rural. C da exigência de qualificação do trabalhador rural. D da diminuição da importância da agricultura. E dos processos de desvalorização de áreas rurais. ;A maioria das pessoas daqui era do campo. Vila Maria é hoje exportadora de trabalhadores. Empresários de Primavera do Leste, Estado de Mato Grosso, procuram o bairro de Vila Maria para conseguir mão de obra. É gente indo distante daqui 300, 400 quilômetros para ir trabalhar, para ganhar sete conto por dia. (Carlito, 43 anos, maranhense, entrevistado em 22/03/98).Ribeiro, H. S. O migrante e a cidade: dilemas e conflitos.Araraquara: Wunderlich, 2001 (adaptado). O texto retrata um fenômeno vivenciado pela agricultura brasileira nas últimas décadas do século XX, consequência; dos impactos sociais da modernização da agricultura.; da recomposição dos salários do trabalhador rural.; da exigência de qualificação do trabalhador rural.; da diminuição da importância da agricultura.; dos processos de desvalorização de áreas rurais.;;;
4;CH;58249;B;26.0;0;;1.87124;-0.40493;0.17401;AZUL;85;4_CH_AZUL;2010.0;AZUL;PAPEL;4.0;CH;"Os lixões são o pior tipo de disposição final dos resíduos sólidos de uma cidade, representando um grave problema ambiental e de saúde pública. Nesses locais, o lixo é jogado diretamente no solo e a céu aberto, sem nenhuma norma de controle, o que causa, entre outros problemas, a contaminação do solo e das águas pelo chorume (líquido escuro com alta carga poluidora, proveniente da decomposição da matéria orgânica presente no lixo).RICARDO, B.; CANPANILLI, M. Almanaque BrasilSocioambiental 2008São Paulo, Instituto Socioambiental, 2007. Considere um município que deposita os resíduos sólidos produzidos por sua população em um lixão. Esse procedimento é considerado um problema de saúde pública porque os lixões A causam problemas respiratórios, devido ao mau cheiro que provém da decomposição. B são locais propícios à proliferação de vetores de doenças, além de contaminarem o solo e as águas. C provocam o fenômeno da chuva ácida, devido aos gases oriundos da decomposição da matéria orgânica. D são instalados próximos ao centro das cidades, afetando toda a população que circula diariamente na área. E são responsáveis pelo desaparecimento das nascentes na região onde são instalados, o que leva à escassez de água. ";"Os lixões são o pior tipo de disposição final dos resíduos sólidos de uma cidade, representando um grave problema ambiental e de saúde pública. Nesses locais, o lixo é jogado diretamente no solo e a céu aberto, sem nenhuma norma de controle, o que causa, entre outros problemas, a contaminação do solo e das águas pelo chorume (líquido escuro com alta carga poluidora, proveniente da decomposição da matéria orgânica presente no lixo).RICARDO, B.; CANPANILLI, M. Almanaque BrasilSocioambiental 2008São Paulo, Instituto Socioambiental, 2007. Considere um município que deposita os resíduos sólidos produzidos por sua população em um lixão. Esse procedimento é considerado um problema de saúde pública porque os lixões"; causam problemas respiratórios, devido ao mau cheiro que provém da decomposição.; são locais propícios à proliferação de vetores de doenças, além de contaminarem o solo e as águas.; provocam o fenômeno da chuva ácida, devido aos gases oriundos da decomposição da matéria orgânica.; são instalados próximos ao centro das cidades, afetando toda a população que circula diariamente na área.; são responsáveis pelo desaparecimento das nascentes na região onde são instalados, o que leva à escassez de água.;;;
5;CH;73854;D;27.0;0;;0.4083;1.46209;0.02447;AZUL;85;5_CH_AZUL;2010.0;AZUL;PAPEL;5.0;CH;O esquema representa um processo de erosão em encosta. Que prática realizada por um agricultor pode resultar em aceleração desse processo? A Plantio direto. B Associação de culturas. C Implantação de curvas de nível. D Aração do solo, do topo ao vale. E Terraceamento na propriedade ; O esquema representa um processo de erosão em encosta. Que prática realizada por um agricultor pode resultar em aceleração desse processo?; Plantio direto.; Associação de culturas.; Implantação de curvas de nível.; Aração do solo, do topo ao vale.; Terraceamento na propriedade;;;
6;CH;73858;A;26.0;0;;1.1977;1.28057;0.14723;AZUL;85;6_CH_AZUL;2010.0;AZUL;PAPEL;6.0;CH;Muitos processos erosivos se concentram nas encostas, principalmente aqueles motivados pela água e pelo vento. No entanto, os reflexos também são sentidos nas áreas de baixada, onde geralmente há ocupação urbana. Um exemplo desses reflexos na vida cotidiana de muitas cidades brasileiras é A a maior ocorrência de enchentes, já que os rios assoreados comportam menos água em seus leitos. B a contaminação da população pelos sedimentos trazidos pelo rio e carregados de matéria orgânica. C o desgaste do solo nas áreas urbanas, causado pela redução do escoamento superficial pluvial na encosta. D a maior facilidade de captação de água potável para o abastecimento público, já que é maior o efeito do escoamento sobre a infiltração. E o aumento da incidência de doenças como a amebíase na população urbana, em decorrência do escoamento de água poluída do topo das encostas ;Muitos processos erosivos se concentram nas encostas, principalmente aqueles motivados pela água e pelo vento. No entanto, os reflexos também são sentidos nas áreas de baixada, onde geralmente há ocupação urbana. Um exemplo desses reflexos na vida cotidiana de muitas cidades brasileiras é; a maior ocorrência de enchentes, já que os rios assoreados comportam menos água em seus leitos.; a contaminação da população pelos sedimentos trazidos pelo rio e carregados de matéria orgânica.; o desgaste do solo nas áreas urbanas, causado pela redução do escoamento superficial pluvial na encosta.; a maior facilidade de captação de água potável para o abastecimento público, já que é maior o efeito do escoamento sobre a infiltração.; o aumento da incidência de doenças como a amebíase na população urbana, em decorrência do escoamento de água poluída do topo das encostas;;;
8;CH;73852;B;30.0;0;;1.30894;1.93513;0.25936;AZUL;85;8_CH_AZUL;2010.0;AZUL;PAPEL;8.0;CH;O esquema mostra depósitos em que aparecem fósseis de animais do Período Jurássico. As rochas em que se encontram esses fósseis são A magmáticas, pois a ação de vulcões causou as maiores extinções desses animais já conhecidas ao longo da história terrestre. B sedimentares, pois os restos podem ter sido soterrados e litificados com o restante dos sedimentos. C magmáticas, pois são as rochas mais facilmente erodidas, possibilitando a formação de tocas que foram posteriormente lacradas. D sedimentares, já que cada uma das camadas encontradas na figura simboliza um evento de erosão dessa área representada. E metamórficas, pois os animais representados preci - savam estar perto de locais quentes. ; O esquema mostra depósitos em que aparecem fósseis de animais do Período Jurássico. As rochas em que se encontram esses fósseis são; magmáticas, pois a ação de vulcões causou as maiores extinções desses animais já conhecidas ao longo da história terrestre.; sedimentares, pois os restos podem ter sido soterrados e litificados com o restante dos sedimentos.; magmáticas, pois são as rochas mais facilmente erodidas, possibilitando a formação de tocas que foram posteriormente lacradas.; sedimentares, já que cada uma das camadas encontradas na figura simboliza um evento de erosão dessa área representada.; metamórficas, pois os animais representados preci - savam estar perto de locais quentes.;;;
9;CH;72681;A;9.0;0;;2.75163;0.48518;0.21916;AZUL;85;9_CH_AZUL;2010.0;AZUL;PAPEL;9.0;CH;O G-20 é o grupo que reúne os países do G-7, os mais industrializados do mundo (EUA, Japão, Alemanha, França, Reino Unido, Itália e Canadá), a União Europeia e os principais emergentes (Brasil, Rússia, Índia, China, África do Sul, Arábia Saudita, Argentina, Austrália, Coreia do Sul, Indonésia, México e Turquia). Esse grupo de países vem ganhando força nos fóruns internacionais de decisão e consulta.ALLAN. R. Crise global. Dísponivel em:http://conteudoclippingmp.planejamento.gov.br. Acesso em: 31 jul. 2010. Entre os países emergentes que formam o G-20, estão os chamados BRIC (Brasil, Rússia, Índia e China), termo criado em 2001 para referir-se aos países que A apresentam características econômicas promissoras para as próximas décadas. B possuem base tecnológica mais elevada. C apresentam índices de igualdade social e econômica mais acentuados. D apresentam diversidade ambiental suficiente para impulsionar a economia global. E possuem similaridades culturais capazes de alavancar a economia mundial. ;O G-20 é o grupo que reúne os países do G-7, os mais industrializados do mundo (EUA, Japão, Alemanha, França, Reino Unido, Itália e Canadá), a União Europeia e os principais emergentes (Brasil, Rússia, Índia, China, África do Sul, Arábia Saudita, Argentina, Austrália, Coreia do Sul, Indonésia, México e Turquia). Esse grupo de países vem ganhando força nos fóruns internacionais de decisão e consulta.ALLAN. R. Crise global. Dísponivel em:http://conteudoclippingmp.planejamento.gov.br. Acesso em: 31 jul. 2010. Entre os países emergentes que formam o G-20, estão os chamados BRIC (Brasil, Rússia, Índia e China), termo criado em 2001 para referir-se aos países que; apresentam características econômicas promissoras para as próximas décadas.; possuem base tecnológica mais elevada.; apresentam índices de igualdade social e econômica mais acentuados.; apresentam diversidade ambiental suficiente para impulsionar a economia global.; possuem similaridades culturais capazes de alavancar a economia mundial.;;;
10;CH;70789;E;17.0;0;;2.03677;0.32474;0.22152;AZUL;85;10_CH_AZUL;2010.0;AZUL;PAPEL;10.0;CH;A Inglaterra pedia lucros e recebia lucros, Tudo se transformava em lucro. As cidades tinham sua sujeira lucrativa, suas favelas lucrativas, sua fumaça lucrativa, sua desordem lucrativa, sua ignorância lucrativa, seu desespero lucrativo. As novas fábricas e os novos altos-fornos eram como as Pirâmides, mostrando mais a escravização do homem que seu poder.DEANE, P. A Revolução Industrial. Rio de Janeiro: Zahar, 1979 (adaptado). Qual relação é estabelecida no texto entre os avanços tecnológicos ocorridos no contexto da Revolução Industrial Inglesa e as características das cidades industriais no início do século XIX? A A facilidade em se estabelecerem relações lucrativas transformava as cidades em espaços privilegiados para a livre iniciativa, característica da nova sociedade capitalista. B O desenvolvimento de métodos de planejamento urbano aumentava a eficiência do trabalho industrial. C A construção de núcleos urbanos integrados por meios de transporte facilitava o deslocamento dos trabalhadores das periferias até as fábricas. D A grandiosidade dos prédios onde se localizavam as fábricas revelava os avanços da engenharia e da arquitetura do período, transformando as cidades em locais de experimentação estética e artística. E O alto nível de exploração dos trabalhadores industriais ocasionava o surgimento de aglomerados urbanos marcados por péssimas condições de moradia, saúde e higiene. ;A Inglaterra pedia lucros e recebia lucros, Tudo se transformava em lucro. As cidades tinham sua sujeira lucrativa, suas favelas lucrativas, sua fumaça lucrativa, sua desordem lucrativa, sua ignorância lucrativa, seu desespero lucrativo. As novas fábricas e os novos altos-fornos eram como as Pirâmides, mostrando mais a escravização do homem que seu poder.DEANE, P. A Revolução Industrial. Rio de Janeiro: Zahar, 1979 (adaptado). Qual relação é estabelecida no texto entre os avanços tecnológicos ocorridos no contexto da Revolução Industrial Inglesa e as características das cidades industriais no início do século XIX?; A facilidade em se estabelecerem relações lucrativas transformava as cidades em espaços privilegiados para a livre iniciativa, característica da nova sociedade capitalista.; O desenvolvimento de métodos de planejamento urbano aumentava a eficiência do trabalho industrial.; A construção de núcleos urbanos integrados por meios de transporte facilitava o deslocamento dos trabalhadores das periferias até as fábricas.; A grandiosidade dos prédios onde se localizavam as fábricas revelava os avanços da engenharia e da arquitetura do período, transformando as cidades em locais de experimentação estética e artística.; O alto nível de exploração dos trabalhadores industriais ocasionava o surgimento de aglomerados urbanos marcados por péssimas condições de moradia, saúde e higiene.;;;
11;CH;71165;B;18.0;0;;1.95978;-0.28047;0.15433;AZUL;85;11_CH_AZUL;2010.0;AZUL;PAPEL;11.0;CH;A evolução do processo de transformação de matérias-primas em produtos acabados ocorreu em três estágios: artesanato, manufatura e maquinofatura. Um desses estágios foi o artesanato, em que se A trabalhava conforme o ritmo das máquinas e de maneira padronizada. B trabalhava geralmente sem o uso de máquinas e de modo diferente do modelo de produção em série. C empregavam fontes de energia abundantes para o funcionamento das máquinas. D realizava parte da produção por cada operário, com uso de máquinas e trabalho assalariado. E faziam interferência do processo produtivo por técnicos e gerentes com vistas a determinar o ritmo de produção. ;A evolução do processo de transformação de matérias-primas em produtos acabados ocorreu em três estágios: artesanato, manufatura e maquinofatura. Um desses estágios foi o artesanato, em que se; trabalhava conforme o ritmo das máquinas e de maneira padronizada.; trabalhava geralmente sem o uso de máquinas e de modo diferente do modelo de produção em série.; empregavam fontes de energia abundantes para o funcionamento das máquinas.; realizava parte da produção por cada operário, com uso de máquinas e trabalho assalariado.; faziam interferência do processo produtivo por técnicos e gerentes com vistas a determinar o ritmo de produção.;;;
